,VarImp,STD
NA_C678,2.6305734883970633,0.013223045549547853
NA_C593,2.516562420778391,0.012809308668761954
AA_alanine.2tms,2.5056083529024207,0.012472424340363142
"NA_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) MP",2.485797998864095,0.012823793504816836
NA_C297,2.477621494658818,0.012635805602311413
NA_C780,2.474580012994349,0.01293805678412695
hi_Thiamine.pyrophosphate,2.4705911038566115,0.013025628057843566
hi_X2.methylglutarate,2.389496788208828,0.012185478082704091
hi_cyclic.GMP,2.3617389842210654,0.013475179219771876
hi_NADH,2.3536205995565886,0.01232892935738047
hi_GDP,2.328532729201951,0.012397450832632441
hi_Hydroxyproline,2.315885011706212,0.01298893183432401
NA_C507,2.3059175449479796,0.012488560163605522
hi_NAD,2.2567430350840616,0.012232395662736848
NA_C769,2.2404305880488926,0.011482328238113581
NA_Hydroxylamine (3TMS),2.2355381187737393,0.01850676722583509
NA_C196,2.2115935758127465,0.0
hi_Inosine,2.20845102745122,0.01844754088610438
NA_C493,2.2075404652335147,0.012521186505213045
hi_Isoleucine,2.206207483089881,0.03648967715480212
hi_Adenosine,2.2041894398904605,0.014287080873443832
hi_Fumarate,2.2008490179559574,0.05917832859471207
hi_Malate,2.19999760746731,0.0614571312375778
hi_Adenine,2.199846561843498,0.04273196504001974
hi_Valine,2.196723313174054,0.05914195335348279
NA_C180,2.192751710532691,0.011859459585937294
hi_GTP,2.1923577649062316,0.04463070507912699
hi_Glutamate.1,2.1920564838997882,0.013943688482501132
hi_Glutamate,2.191490579065165,0.06373890024282529
AA_glutamic.acid.3tms,2.191233571267647,0.0530487095965566
hi_Methionine.SO,2.190583195049273,0.014246006346478402
NA_C392,2.190369507071148,0.019928315071567202
hi_Glutamine,2.189440060444033,0.03472544234169506
hi_ADP,2.1886213772314433,0.061956882034798676
hi_Aspartic.acid,2.1869614338691763,0.04256730983665661
hi_Serine,2.1839425377419763,0.052735934728160024
hi_CMP,2.183864018674625,0.016940928796337996
AA_histidine.3tms,2.1834763822125405,0.047883536577405156
hi_Lysine,2.1831438285564984,0.01913814831995724
hi_Threonine,2.1823947576475207,0.05390552596211662
hi_Gln.6.P,2.1817487034670844,0.012817557366082477
hi_Glutathione,2.1804291949604386,0.05076803486803818
hi_Dihydroxyacetone.phosphate,2.178709335741763,0.04993572745381068
AA_Phenylalanine.2tms,2.1749067193559672,0.05907209578375537
hi_Arginine,2.1722518395903188,0.04946628898211909
AA_lysine.3tms,2.170199391096826,0.04189095279361654
hi_Pentose.P,2.1694299744739522,0.037915948458994084
hi_S.adenosylmethionine,2.168744398921636,0.024611072179811993
NA_C115,2.1686288893654706,0.038882567957984546
AA_Threonine.2tms,2.16778499253431,0.0
