,y_Data_Test,y_Predict
0,26.0,23.071083333333302
1,3.0,4.84075000000001
2,25.5,21.497583333333303
3,6.0,9.311333333333339
4,2.0,13.095583333333302
5,2.5,5.832500000000009
6,20.0,16.5910833333333
7,3.0,3.51358333333335
8,2.0,10.3771666666667
9,15.0,16.81425
10,4.0,5.21683333333334
11,16.0,17.2998333333333
12,6.0,8.31691666666667
13,22.0,18.97725
14,14.0,13.7523333333333
15,13.0,11.522
16,25.5,19.213333333333303
17,14.0,12.4245833333333
18,1.0,5.3145
19,12.0,12.929666666666698
20,1.0,6.66058333333333
21,8.0,7.537499999999991
22,14.5,15.487916666666699
23,26.0,24.1019166666667
24,22.0,20.5809166666667
25,13.5,13.45375
26,1.0,2.57650000000001
27,20.0,14.637583333333302
28,10.0,7.65766666666666
29,4.0,6.41158333333333
30,15.0,11.3041666666667
31,13.0,14.593
32,12.0,12.285416666666698
33,18.0,20.659583333333302
34,16.0,10.97925
35,0.0,2.3002499999999904
36,4.0,4.17374999999999
37,16.0,14.57175
38,8.0,6.10741666666666
39,18.0,19.407
40,24.0,17.910166666666697
41,15.0,16.439333333333302
42,25.0,23.73475
43,22.0,19.9153333333333
44,8.0,6.86591666666667
45,24.0,23.2744166666667
46,1.5,2.68775
47,14.5,14.81425
48,12.0,11.8209166666667
49,13.0,11.770666666666699
50,13.5,13.538333333333302
51,25.5,17.891
52,0.0,5.038250000000009
53,13.5,14.6440833333333
54,3.0,4.70158333333334
55,14.0,15.0968333333333
56,1.5,5.95700000000001
57,0.0,10.2999166666667
58,10.0,8.09875
59,2.5,4.26266666666667
60,14.5,13.9615
61,18.0,16.3176666666667
62,10.0,6.48708333333334
63,26.0,8.19416666666667
64,25.0,21.3425833333333
65,24.0,23.1301666666667
66,25.0,19.059
67,6.0,6.72091666666667
