,y_Data_Test,y_Predict
0,12.0,11.858416666666699
1,2.0,15.035166666666699
2,24.0,22.86225
3,14.0,15.24175
4,1.0,3.9368333333333396
5,12.0,12.751416666666698
6,13.0,10.5529166666667
7,13.0,13.22725
8,6.0,8.00883333333333
9,1.0,9.433
10,25.0,23.1928333333333
11,8.0,9.32475
12,2.0,12.146916666666698
13,1.5,11.472416666666698
14,25.0,20.636999999999997
15,15.0,11.333666666666698
16,6.0,7.07233333333334
17,14.5,11.146083333333301
18,0.0,7.42866666666667
19,25.0,19.7929166666667
20,26.0,17.0855
21,10.0,7.78700000000001
22,3.0,3.93624999999998
23,13.5,14.004166666666698
24,1.0,5.93583333333333
25,2.5,3.2107499999999796
26,25.5,16.959583333333303
27,18.0,16.7446666666667
28,18.0,12.658916666666698
29,14.5,13.9039166666667
30,13.0,9.4275
31,24.0,23.5915833333333
32,25.5,14.304416666666699
33,14.0,10.939666666666698
34,14.5,14.842166666666698
35,22.0,15.786083333333302
36,3.0,3.17433333333334
37,24.0,19.3095833333333
38,8.0,7.002000000000001
39,8.0,6.6025
40,13.5,12.677
41,10.0,7.46025
42,16.0,8.17333333333333
43,14.0,12.992666666666699
44,15.0,16.1249166666667
45,22.0,17.5325
46,25.5,20.88575
47,20.0,11.798416666666698
48,18.0,17.86525
49,20.0,9.00441666666667
50,1.5,1.6653333333333502
51,16.0,20.15625
52,22.0,22.529583333333303
53,26.0,14.751833333333302
54,4.0,3.9228333333333496
55,15.0,20.6153333333333
56,0.0,3.92666666666667
57,13.5,15.243333333333302
58,16.0,18.2939166666667
59,4.0,6.0911666666666795
60,26.0,24.4755833333333
61,0.0,3.3670833333333396
62,10.0,11.171583333333302
63,3.0,5.399666666666679
64,12.0,14.0693333333333
65,6.0,7.784500000000009
66,2.5,9.17808333333334
67,4.0,9.11608333333334
