,y_Data_Test,y_Predict
0,0.0,12.272396211761501
1,3.0,5.9363040498583395
2,3.0,2.805318688595985
3,4.0,12.013589050405201
4,22.0,18.1131245918573
5,24.0,24.00823249272915
6,6.0,6.14282766774896
7,15.0,21.7701127985123
8,24.0,21.50140600482775
9,13.5,20.20128248371845
10,8.0,7.6322780099828
11,2.0,12.958509750265101
12,0.0,8.813692967736685
13,12.0,15.0937753859175
14,4.0,8.903966781744906
15,26.0,23.42293190636525
16,2.5,9.57803401535011
17,14.5,20.74868280156275
18,10.0,9.652061134551426
19,1.5,10.49693157671849
20,16.0,18.116465685566247
21,14.0,19.636502421162852
22,24.0,18.8657104642625
23,13.0,16.47831671557745
24,26.0,19.40425934966065
25,14.0,18.738548673983303
26,13.5,20.24065059189855
27,12.0,11.71658843892265
28,0.0,3.5546548515198917
29,8.0,1.4066684671838199
30,2.5,2.7074302539952
31,10.0,10.35415296603188
32,14.5,17.018366716718752
33,2.0,3.2838794860608242
34,22.0,18.533129422556
35,25.5,16.551915067378253
36,1.0,1.3577297728543707
37,10.0,4.8712200872406095
38,4.0,3.0845105442185003
39,25.0,24.355021693792402
40,12.0,14.011002649285299
41,18.0,17.428102347400348
42,15.0,12.1617673340988
43,25.0,22.496767588797702
44,25.5,19.291732778652204
45,3.0,6.47489451814177
46,13.0,10.273100261315
47,16.0,15.2234602816151
48,1.5,4.50090586973584
49,14.0,13.522885077048649
50,6.0,5.02478088677568
51,18.0,18.8184946710596
52,26.0,8.130032342697788
53,13.0,14.82753184978165
54,16.0,9.032964951758629
55,13.5,16.6347862301847
56,25.0,17.9677349700856
57,22.0,16.24147657823375
58,18.0,13.972828380546048
59,6.0,2.543406370622095
60,20.0,16.54948067694815
61,25.5,12.862610687781448
62,1.0,-0.2675128439354101
63,14.5,14.677738069411399
64,1.0,5.9807386488835395
65,8.0,2.5130225539876094
66,15.0,19.2592090605238
67,20.0,10.9921571570253
