,VarImp,STD
NA_C678,2.631276984893083,0.013015553661723751
NA_C593,2.51766693734409,0.012649184426939727
AA_alanine.2tms,2.506454764495385,0.012243853726644511
"NA_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) MP",2.486201707134445,0.012221952476597348
NA_C297,2.478631589098822,0.012247323693174
NA_C780,2.4747459122440096,0.012089970707375533
hi_Thiamine.pyrophosphate,2.4716966892964765,0.012818371894025675
hi_X2.methylglutarate,2.389464393426296,0.011759131053354615
hi_cyclic.GMP,2.3631580705640123,0.013969679320338995
hi_NADH,2.3544702717810932,0.012090217887508213
hi_GDP,2.3290065530692488,0.011775192338558626
hi_Hydroxyproline,2.3163763618370514,0.01285976495257095
NA_C507,2.3076416858148914,0.012596832356371379
hi_NAD,2.257224123738013,0.012038813122808753
NA_C769,2.2413040993453803,0.010907933183498848
NA_Hydroxylamine (3TMS),2.2318127987631926,0.013186433785851007
NA_C493,2.2073998486258435,0.01185583894531205
hi_Adenosine,2.2040756250012654,0.01192695196989768
NA_C180,2.1933013586625405,0.010438315749082688
hi_Glutamate.1,2.1916396630392914,0.012557381826279801
hi_Methionine.SO,2.1895136043632206,0.012357237014699561
NA_C392,2.1861925725674647,0.01417801900687273
hi_Lysine,2.1763430078680766,0.012312160386197826
AA_Proline.2tms,2.1646472974298625,0.011004991469222758
hi_S.adenosylmethionine,2.1557795902507704,0.011610701998732962
hi_Dihydroorotate,2.1517653180809972,0.011827921604268264
hi_Glycerate,2.14945875939947,0.011907740510075687
hi_Urea,2.143531260329334,0.011802624257991667
NA_C506,2.1404253497613257,0.012762549822865236
AA_leucine.2tms,2.138124931122696,0.010947890891018478
NA_C176,2.1321616906923273,0.012209527500456396
hi_totalSignal,2.1239819609824515,0.011443094666667977
hi_Orotate,2.1233217393603336,0.011881969728432936
AA_Glycine.2tms,2.1164434814339783,0.010628293643896053
hi_Deoxyinosine.Monophosphate,2.1130032742792877,0.011803463752040074
hi_FAD,2.1125953882347885,0.01183611558844577
NA_C845,2.111318535264596,0.012957728161724262
hi_F.1.6.P,2.1020882243238224,0.011854332469445535
hi_Deoxyuridine,2.097001331182465,0.01185694395485807
hi_cyclic.AMP,2.090247493105547,0.011855795428899014
AA_valine.2tms,2.089759650309036,0.01102536391255715
NA_C391,2.0896671912585023,0.013871071945815614
hi_Glutathione,2.086212217130289,0.013162140691563655
hi_Alanine,2.081293243256292,0.01014930019812104
hi_Acetyl.CoA,2.0514820600536283,0.012303969514961205
hi_Flavin.mononucleotide,2.046129811506991,0.011648266073594028
NA_C115,2.046061277930956,0.011846868638159933
NA_C566,2.0457956946294527,0.012214056595594332
NA_C659,2.0442357274554896,0.012727753570718897
NA_C724,2.0375887175041916,0.0
NA_C683,2.032162747473498,0.014484022868903077
hi_Glutamate,2.0152278327103272,0.01322810149123717
NA_C287,2.01477097318624,0.0
hi_Uridine,2.0104443624839505,0.012773998659520846
hi_Threonine,1.9938733515000062,0.01836829087555332
hi_NADPH,1.9826226586528592,0.012451548673258426
hi_Carnitine,1.9811265235289348,0.0
hi_NADP,1.980281003936833,0.015623524640846721
hi_ADP,1.980084303658914,0.023306880315051487
hi_Tryptophan,1.978796650013583,0.07905266437365659
hi_Arginine,1.9782094054847885,0.022471638062255835
NA_C819,1.9765318561091814,0.08532020825727384
hi_Phenylalanine,1.9750583305620941,0.07793435734194563
NA_C240,1.9746644457180182,0.015115578127248647
hi_Arginosuccinate,1.972449498663562,0.0
hi_Dihydroxyacetone.phosphate,1.970985216813258,0.029585771835564583
hi_Ribose.5.P,1.9665334809216881,0.017479621387179144
hi_Pentose.P,1.9640738993165192,0.018106084271870146
hi_Methionine,1.9639643678091976,0.07612569135762505
NA_C417,1.9634430282383153,0.07430765855404785
hi_Tyrosine,1.9627902303105962,0.044963666904748685
hi_Ribose.1.P,1.9625839862166452,0.01883908116936949
AA_arginine.3tms.,1.9620292501507728,0.013574930471157664
hi_Trehalose,1.9598369178537933,0.07139476299256398
hi_Ribulose.5.P,1.9597279905922649,0.01970541534590438
hi_UDP.glucose,1.959588889989674,0.05415188657746868
hi_Leucine,1.958806981532286,0.07440607021597007
NA_C682,1.9583744539697014,0.013312392400001316
AA_glutamic.acid.3tms,1.9572891761609057,0.01732408839252112
NA_C438,1.9535144051295696,0.07191471678876005
hi_Sucrose,1.952448688533166,0.06497623372359862
NA_Glycine (3TMS),1.9517462633101872,0.02014488476878814
NA_C158,1.9496309896478545,0.018454505091690835
AA_lysine.3tms,1.9481947354406877,0.01638171434443046
hi_Isoleucine,1.9455838671585883,0.07422029412309762
hi_AMP,1.9450825191637273,0.05429240019096534
hi_CySSG,1.9445627476187763,0.0769961327181049
AA_aspartic.acid.3tms,1.9443854374386447,0.08014823844240844
NA_C857,1.943698547695182,0.011337750613486635
hi_Ornithine,1.9427880001677815,0.015149602074345014
hi_GMP,1.942667932130379,0.06987747326707823
AA_serine.3tms,1.9402635619185777,0.07113685707811312
hi_Deoxycytidine,1.9386871912361021,0.06345265752887336
hi_X2.3phosphoglycerate,1.9380270026331425,0.0440822208713985
NA_C821,1.9375089754506705,0.06507983592728318
hi_Gln.6.P,1.934932719824521,0.0633331500140911
NA_C852,1.9344795476390892,0.0148623398526936
hi_Pipecolate,1.933891982085731,0.06228658604882018
hi_Proline,1.9316602197119277,0.0273670748596227
NA_C142,1.9298039156534867,0.01578628105869762
