file,name,number,MST,time,rep,order,alanine.2tms,Glycine.2tms,X2.aminobutyric.acid.2tms,valine.2tms,leucine.2tms,isoleucine.2tms,Threonine.2tms,Proline.2tms,aspartic.acid.2tms,Glutamine..pyroglutamic.acid.2tms.,Methionine.2tms,serine.3tms,Threonine.3tms,Phenylalanine.2tms,aspartic.acid.3tms,glutamic.acid.3tms,lysine.3tms,arginine.3tms.,histidine.3tms,tyrosine.3tms
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__040,69-Synechocystis_6803-cell-630a_day4-3,69,630a_day4,23.5,3,40,1423695805,861810307,5336139.535,967012316.3,995439181.4,704141018.6,36927381.4,401124186,56471027.91,178670841.9,183221586,1097051200,550120683.7,770943925.6,1691224195,1420463614,865026702.3,494001316.3,400824130.2,895681204.7
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__062,70-Synechocystis_6803-cell-7a_day2-1,70,7a_day2,24,1,62,1650163075,835727714.3,21776937.89,927256099.4,980208087,641515689.4,22306521.74,387663764,38418838.51,150837795,129520453.4,906316273.3,518102173.9,715628142.9,1644888193,1445957671,766312279.5,375736664.6,359414329.2,820565354
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__010,71-Synechocystis_6803-cell-7a_day2-2,71,7a_day2,24,2,10,1011077937,559976505.9,3204996.078,639956176.5,690889011.8,458204568.6,26152117.65,257693537.3,33823850.98,116179494.1,180915415.7,695187721.6,239537329.4,500821800,1150068910,1036225675,554259592.2,311577478.4,266200611.8,597401117.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__082,72-Synechocystis_6803-cell-7a_day2-3,72,7a_day2,24,3,82,1146051751,601931108,2254309.859,655916887.3,743083943.7,463215009.4,18926173.71,282370544.6,26654896.71,129718802.8,180559910.8,770749042.3,501203488.3,525510436.6,1248227737,1019820596,569135075.1,285914441.3,263485647.9,652185516.4
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__001,QC-1-1,QC,,26,NA,1,852521795.9,460378382.7,15698836.73,467381801,457273454.1,303472158.2,34556209.18,168459821.4,9893377.551,171482290.8,88981464.29,305299760.2,34416091.84,305884602,604628724.5,495446739.8,286947413.3,153559035.7,119141556.1,338261265.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__008,QC-1-8,QC,,26,NA,8,716460714.3,348002622.4,12136454.08,387580270.4,398776561.2,260545596.9,24979280.61,142376699,12375045.92,154320035.7,79785387.76,298599433.7,36144627.55,291261913.3,655745607.1,527258076.5,286817551,142303025.5,125717688.8,343730061.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__015,QC-1-15,QC,,26,NA,15,740304204.1,346097020.4,12478229.59,399471112.2,412113699,266606459.2,26523127.55,146167765.3,9179443.878,160604464.3,84248255.1,305190290.8,43938066.33,298820224.5,678608132.7,516772250,299732484.7,145147811.2,130924489.8,350017086.7
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__022,QC-1-22,QC,,26,NA,22,752462051,357696352,12813010.2,406732234.7,415802280.6,274454066.3,26385663.27,151282658.2,16538520.41,161936484.7,83734591.84,310969489.8,50355301.02,305312346.9,700168632.7,546618806.1,310242627.6,147759918.4,134025081.6,361976949
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__029,QC-1-29,QC,,26,NA,29,773760785.7,385031581.6,13324627.55,422259357.1,434080244.9,282844234.7,27998346.94,155167831.6,15620061.22,161968607.1,84221479.59,314870933.7,57476653.06,315296596.9,712705091.8,550326377.6,315426729.6,133468127.6,134198591.8,367942168.4
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__036,QC-1-36,QC,,26,NA,36,753527530.6,375122306.1,13054336.73,410580913.3,423295285.7,276787316.3,26123933.67,149288974.5,21429479.59,153478000,78780219.39,312308846.9,62501561.22,302884117.3,695237520.4,543668607.1,307530668.4,133463290.8,129071954.1,356807877.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__043,QC-1-43,QC,,26,NA,43,772914811.2,361370739.8,12755551.02,412651367.3,429711872.4,276537658.2,26317367.35,151302566.3,19307545.92,158644622.4,78329096.94,319404709.2,73543459.18,306913311.2,705967346.9,562296142.9,314636413.3,143943071.4,129120520.4,365904301
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__050,QC-1-50,QC,,26,NA,50,792915760.2,370044357.1,12634545.92,423278586.7,435852178.6,283607494.9,26123897.96,155083454.1,14210928.57,164116913.3,81044397.96,325269581.6,81896709.18,318791949,724576576.5,565307015.3,320306408.2,143209255.1,133570443.9,377223362.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__057,QC-1-57,QC,,26,NA,57,784018627.6,371355107.1,12639704.08,414624204.1,434536224.5,281540811.2,26044627.55,153575770.4,16814938.78,159823056.1,78679051.02,320306321.4,86739219.39,313214346.9,721578321.4,562714234.7,319411474.5,140023219.4,131952091.8,374473056.1
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__064,QC-1-64,QC,,26,NA,64,793619515.3,371212928.6,12063780.61,421158566.3,429103137.8,280596826.5,25392984.69,153638785.7,19526045.92,158755020.4,76986831.63,325040750,95748836.73,313744418.4,721359403.1,575140846.9,319974153.1,142222867.3,132276071.4,374959836.7
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__071,QC-1-71,QC,,26,NA,71,795902255.1,372537061.2,11984051.02,420994494.9,438384326.5,284291301,24728887.76,153548479.6,19731229.59,160845398,77419255.1,323665229.6,99290479.59,311827668.4,723747556.1,572189913.3,321042959.2,142266780.6,132533852,374804846.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__078,QC-1-78,QC,,26,NA,78,782648413.3,387761775.5,12151867.35,420872357.1,436577433.7,281376178.6,24851872.45,153164693.9,15021867.35,157335714.3,74464341.84,318323653.1,100483459.2,308197653.1,710046000,553373775.5,311460816.3,132030438.8,128953295.9,368122301
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__085,QC-1-85,QC,,26,NA,85,794054607.1,360431964.3,11945632.65,419594545.9,430042290.8,280775535.7,21087107.14,152562443.9,14739867.35,160401474.5,75290448.98,323848204.1,132148994.9,307067040.8,715528112.2,565739331.6,316523464.3,140011239.8,129972408.2,375446454.1
