file,name,number,MST,time,rep,order,alanine.2tms,Glycine.2tms,X2.aminobutyric.acid.2tms,valine.2tms,leucine.2tms,isoleucine.2tms,Threonine.2tms,Proline.2tms,aspartic.acid.2tms,Glutamine..pyroglutamic.acid.2tms.,Methionine.2tms,serine.3tms,Threonine.3tms,Phenylalanine.2tms,aspartic.acid.3tms,glutamic.acid.3tms,lysine.3tms,arginine.3tms.,histidine.3tms,tyrosine.3tms
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__084,15-Synechocystis_6803-cell-730a-3,15,730a,0.5,3,84,2089033265,1035873508,34542568.18,1214200545,1192781152,855115287.9,18418825.76,497532075.8,57440000,276041621.2,220744575.8,933328075.8,569820348.5,935995681.8,2148458417,1728283758,972007984.8,528921734.8,466021151.5,995564750
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__014,16-Synechocystis_6803-cell-8a-1,16,8a,1,1,14,1555309688,404174432.6,124796326.2,460092503.5,612908851.1,286290134.8,14323730.5,323776269.5,10173191.49,863116312.1,95841070.92,72819304.96,41084588.65,356521808.5,154498687.9,35031255.32,442629127.7,268219808.5,139796425.5,454563418.4
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__003,17-Synechocystis_6803-cell-8a-2,17,8a,1,2,3,1878825654,852447007.5,45562977.44,1044808316,1050363880,708988827.1,25553601.5,404170210.5,36058060.15,541309864.7,214039827.1,535918255.6,189060639.1,782234985,1832598105,1291463586,846572894.7,477230248.1,401658458.6,823509789.5
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__027,18-Synechocystis_6803-cell-8a-3,18,8a,1,3,27,1929900127,1014136716,32168201.49,1138635530,1171955940,783538634.3,38301328.36,440832567.2,43454447.76,256678067.2,246137343.3,942034783.6,333101044.8,861039119.4,2065291627,1729630761,925884955.2,487400858.2,445564835.8,944871149.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__054,19-Synechocystis_6803-cell-9a-1,19,9a,2,1,54,1987162674,1117061080,8399123.188,1277925891,1283592109,927900971,25473101.45,534779289.9,53642028.99,189744869.6,316085108.7,1231195188,700917478.3,1011399471,2457862080,2008405000,1082610681,652816731.9,509576007.2,1085972413
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__066,20-Synechocystis_6803-cell-9a-2,20,9a,2,2,66,1818567732,1028409634,6855415.493,1238895134,1138810859,849963323.9,17334683.1,496191577.5,68793394.37,347607570.4,318269387.3,1081980796,643490802.8,927531239.4,2303589254,1645153521,991906584.5,652577098.6,486319373.2,1068144711
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__067,21-Synechocystis_6803-cell-9a-3,21,9a,2,3,67,1817064023,1020607267,4256152.672,1154311901,1115298962,802310893.1,27253793.89,471388160.3,58176725.19,146754175.6,324680412.2,1171219466,637569801.5,878057687,469511167.9,1693114863,940049969.5,654272351.1,454479771,1037548710
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__065,22-Synechocystis_6803-cell-11a-1,22,11a,4,1,65,1808879607,972714550,14045678.57,1100786650,1088462436,750022021.4,22316050,446805500,49132178.57,348363571.4,252298778.6,1004944650,507771821.4,848878000,2173368700,1435437521,917740635.7,578410428.6,426718100,908745600
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__044,23-Synechocystis_6803-cell-11a-2,23,11a,4,2,44,2206581493,1290528813,7015037.313,1427866410,1602497918,1071299463,57956753.73,644250268.7,110341223.9,260354238.8,276887037.3,1758762769,791405313.4,1162963201,2994782537,2474746037,1315401493,1037772978,616347709,1336192985
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__059,24-Synechocystis_6803-cell-11a-3,24,11a,4,3,59,1830902552,965895944.1,11408265.73,1027698706,1145411860,700625902.1,38715377.62,466374734.3,56735258.74,205729685.3,135957524.5,1226107692,551620678.3,837788363.6,2334598126,1897680818,920431762.2,651711706.3,426964042,925719153.8
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__079,25-Synechocystis_6803-cell-1p-1,25,1p,6,1,79,1964241906,1101441187,4674302.158,1228148295,1303604460,874441410.1,31361230.22,551148223,70321820.14,236522812.9,166416877.7,1499322799,915174892.1,1004537669,2553569719,2168736252,1147777403,704439518,536489611.5,1172067993
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__035,26-Synechocystis_6803-cell-1p-2,26,1p,6,2,35,1664613693,960191784.3,5778620.915,1056819987,1138152359,769748143.8,43142921.57,447495339.9,51772692.81,211510483.7,183928516.3,1235230157,509655359.5,837145875.8,2150909928,1829707967,942560588.2,672081339.9,444732006.5,989484052.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__070,27-Synechocystis_6803-cell-1p-3,27,1p,6,3,70,2281873270,1267296643,12304230.16,1342599944,1397728032,954797309.5,37192928.57,590594134.9,70330666.67,269606055.6,300558611.1,1629355857,805382976.2,1108551770,2750133373,2164671421,1206128317,746765468.3,572782436.5,1236631937
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__041,28-Synechocystis_6803-cell-3p-1,28,3p,8,1,41,1838043253,1019752353,11491560,1105065227,1191364013,769466500,39463560,477572926.7,60273340,223246560,130692300,1313868447,579157426.7,877911840,2167452773,1862723567,999881326.7,516996420,461382666.7,941662193.3
